url,name,brand,price,currency,original_price,key_features,images,uniq_id,scraped_at
https://www.gymboree.com/us/p/Girls-Sleeveless-Hydrangea-One-Piece-Swimsuit---Splish-Splash-3029930-1128,Girls Hydrangea One Piece Swimsuit - Splish-Splash - simplywht23,Gymboree,19.98,USD,$39.95,Take a float in the pool with this hydrangea print one piece swimsuit featuring 3D flowers! | 80% nylon raschel/20% spandex | UPF 50+ sun protection | Features allover hydrangea print | 3D applique flowers at right shoulder | Fully lined | Machine wash; imported | Splish-Splash Collection,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3029930/3029930_1128.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3029930/3029930_1128-1.jpg,2f8fa9a8-4dcf-5c57-9541-4ad3d5b44690,19/09/2022 09:46:11
https://www.gymboree.com/us/p/Girls-Knit-Leggings---Uniform-3030584-1363,Girls Leggings - Uniform - h/t smoke,Gymboree,11.87,USD,$16.95,This classic style will keep her comfy in the classroom and on the playground! | 94% ribbed cotton/6% elastane | Easy pull-on style | Full length | Machine wash; imported | Uniform,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030584/3030584_1363.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030584/3030584_1363-1.jpg,13ac0d19-e5a3-5cd2-be53-65c6c97833cb,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Boys-Long-Sleeve-Embroidered-S-more-Top-And-Pull-On-Jeans-Set---S-more-Fun-3037215-BQ,Boys Embroidered S'more Raglan Top And Pull On Jeans Set - S'more Fun - multi clr,Gymboree,42.99,USD,$74.95,"Make the perfect s'more around the campfire in this embroidered top and jeans set! | Top made of 100% cotton jersey | Features embroidered s'mores, camper, fire and forest | Contrast raglan sleeves | Ribbed neck | Jeans made of 79% cotton denim, 19% recycled polyester/2% elastane | Easy pull-on style | Functional drawstring | Five-pocket styling | Roll-up cuffs | Machine wash; imported | S'more Fun Collection",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3037215/3037215_BQ.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3037215/3037215_BQ-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3037215/3037215_BQ-2.jpg,ac3757a3-6da1-564f-9c76-f7d11d1f42da,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Girls-Knit-Bike-Shorts---Uniform-3031244-1363,Girls Bike Shorts - Uniform - h/t smoke,Gymboree,10.47,USD,$14.95,"Perfect for the playground, these bike shorts will keep her comfy as she moves! | 94% ribbed cotton/6% elastane | Easy pull-on style | Mid-thigh length | Machine wash; imported | Uniform",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3031244/3031244_1363.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3031244/3031244_1363-1.jpg,0fc38398-4131-5677-82e0-8e59bdcade73,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Girls-Bow-Ponte-Knit-Jeggings-2-Pack---Uniform-3036840-32PP,Girls Bow Ponte Jeggings 2-Pack - Uniform - navy slate,Gymboree,41.97,USD,$59.95,"From reading lessons to recess games, this 2-pack of jeggings are comfy all day long! | 59% cotton ponte/36% polyester/5% spandex | Set of two | Easy pull-on style | Features center seams at front | Faux front pockets with permanent bows | Machine wash; imported | Uniform",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3036840/3036840_32PP.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3036840/3036840_32PP-1.jpg,e857db5b-e43b-5060-8c84-bc6d1c92c190,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Boys-Racecar-Slides---Splish-Splash-3029368-40,Boys Racecar Slides - Splish-Splash - blue15,Gymboree,6.58,USD,$21.95,Vroom vroom! He's ready for the big race with these racecar slides. | 100% faux leather | Elasticized ankle strap for sizes 5-11; sizes 12-3 do not have ankle strap | Features racecars | Textured sole | Spot clean; imported | Splish-Splash Collection,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3029368/3029368_40.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3029368/3029368_40-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3029368/3029368_40-2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3029368/3029368_40-3.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3029368/3029368_40-4.jpg,8660f1ec-729d-524b-98db-990c1c239818,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Girls-Apple-Briefs-3-Pack-3033450-IV,Girls Apple Briefs 3-Pack - tidal,Gymboree,13.97,USD,$19.95,Stock-up on the cutest and comfiest pairs of underwear with this pack of apple briefs! | 100% ribbed cotton | Set of three | 1 striped pair | 1 apple and mouse print pair | 1 pair features dot print with mouse and apple graphic at front | Elastic waist with satin bow | Machine wash; imported,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033450/3033450_IV.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033450/3033450_IV-1.jpg,08221376-f982-57af-b46f-1fc708e4ebbc,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Boys-Belted-Woven-Chino-Shorts-with-Stain-and-Wrinkle-Resistance---Uniform-3030579-32PP,Boys Belted Chino Shorts with Stain and Wrinkle Resistance - Uniform - navy slate,Gymboree,24.47,USD,$34.95,"From science experiments to social studies projects, these chino shorts were made for every schoolday adventure! | 98% cotton twill/2% spandex with Nanotex® stain and wrinkle resistance | Made with protective Nanotex® fabric for best-in-class quality that lasts! | Hook-and-bar button closure with zip fly | Inner adjustable waist tabs for a custom fit | Front side slant pockets | Back welt pockets | Includes adjustable striped belt | Pre-washed for added softness and to reduce shrinkage | Machine wash; imported | Uniform",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030579/3030579_32PP.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030579/3030579_32PP-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030579/3030579_32PP-2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030579/3030579_32PP-3.jpg,6001dbba-e269-5b24-9475-856649939597,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Girls-Matching-Family-Long-Sleeve-Plaid-Flannel-Nightgown---Gymmies-3034135-01,Girls Matching Family Plaid Flannel Nightgown - Gymmies - black,Gymboree,27.97,USD,$39.95,"Cuddle up with this warm, flannel nightgown featuring plaid print! | 100% recycled polyester flannel | Half-button placket | Features allover plaid print | Banded sleeve cuffs | Machine wash; imported | Gymmies Collection",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3034135/3034135_01.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3034135/3034135_01-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3034135/3034135_01-2.jpg,9049aa3b-4b5a-5bc5-ad16-bd7817e56254,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Girls-Long-Sleeve-Cable-Knit-Cardigan---Uniform-3030587-32PP,Girls Cable Knit Cardigan - Uniform - navy slate,Gymboree,23.07,USD,$32.95,"Her favorite school outfit just got cuter with a cable knit cardigan made for layering! | 100% combed cotton | Button front | Features allover cable knit | Ribbed neck, sleeve cuffs and hem | Machine wash; imported | Uniform",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030587/3030587_32PP.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030587/3030587_32PP-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030587/3030587_32PP-2.jpg,090516b2-8984-5461-8095-ff51a6f973cf,19/09/2022 09:46:12
